cb,x,y,hydrophilic,x,y,wenzel,x,y
,4.12484944700993,1.36105402675398,,10.8095402283608,11.6318776771387,,7.01750172780753,7.94941786177172
,7.05198454964262,5.32894338840929,,14.6482587823412,26.4593141220311,,7.97251640271389,18.8193712430498
,9.20344864882702,8.91273701211206,,17.1410313366133,40.6381701964009,,8.57467336646569,28.5616758541419
,11.2140116482642,12.8691870963484,,18.7596973755752,54.9323007147877,,9.14102759175712,36.4314587461892
,13.1188163281019,16.8243172639595,,19.4804361664037,69.5940363626719,,9.49652513616223,46.5450999011896
,14.8471371558363,20.0284148717939,,19.4217546116408,84.1196109114539,,9.53513269745127,57.9652385290996
,22.6744627297709,24.2446685451036,,19.3391528637925,99.0238306788495,,9.92571802547806,67.5176951322575
,24.720333498934,28.388766776232,,21.9989689286141,111.057428355458,,10.3868638964305,77.2582398545159
,26.8013470482448,32.1588886302015,,,,,10.6012953515103,87.1829129459989
,28.9528111474292,35.7426822539043,,,,,10.9925406378497,98.9818676453604
,,,,,,,11.2770376671207,107.409755283791
,,,,,,,11.4199186418058,113.776593111868
